fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#0000FF	0.154962204340405	0.718256130790191	xgboost 1 15	xgboost	xgboost	15
#0000FF	0.164959765910753	0.741689373297003	xgboost 1 16	xgboost	xgboost	16
#0000FF	0.174957327481102	0.756948228882834	xgboost 1 17	xgboost	xgboost	17
#0000FF	0.184954889051451	0.778201634877384	xgboost 1 18	xgboost	xgboost	18
#0000FF	0.1949524506218	0.798365122615804	xgboost 1 19	xgboost	xgboost	19
#0000FF	0.204950012192148	0.815803814713896	xgboost 1 20	xgboost	xgboost	20
#0000FF	0.214947573762497	0.831607629427793	xgboost 1 21	xgboost	xgboost	21
#0000FF	0.224945135332846	0.843051771117166	xgboost 1 22	xgboost	xgboost	22
#0000FF	0.234942696903194	0.858310626702997	xgboost 1 23	xgboost	xgboost	23
#0000FF	0.244940258473543	0.868119891008174	xgboost 1 24	xgboost	xgboost	24
#0000FF	0.254937820043892	0.88283378746594	xgboost 1 25	xgboost	xgboost	25
#0000FF	0.26493538161424	0.891553133514986	xgboost 1 26	xgboost	xgboost	26
#0000FF	0.274932943184589	0.900272479564033	xgboost 1 27	xgboost	xgboost	27
#0000FF	0.284930504754938	0.91008174386921	xgboost 1 28	xgboost	xgboost	28
#0000FF	0.294928066325287	0.915531335149864	xgboost 1 29	xgboost	xgboost	29
#0000FF	0.304925627895635	0.919891008174387	xgboost 1 30	xgboost	xgboost	30
#0000FF	0.314923189465984	0.929700272479564	xgboost 1 31	xgboost	xgboost	31
#0000FF	0.324920751036333	0.939509536784741	xgboost 1 32	xgboost	xgboost	32
#0000FF	0.334918312606681	0.94441416893733	xgboost 1 33	xgboost	xgboost	33
#0000FF	0.34491587417703	0.948228882833788	xgboost 1 34	xgboost	xgboost	34
#0000FF	0.354913435747379	0.956948228882834	xgboost 1 35	xgboost	xgboost	35
#0000FF	0.364910997317727	0.963487738419619	xgboost 1 36	xgboost	xgboost	36
#0000FF	0.374908558888076	0.967302452316076	xgboost 1 37	xgboost	xgboost	37
#0000FF	0.384906120458425	0.971662125340599	xgboost 1 38	xgboost	xgboost	38
#0000FF	0.394903682028773	0.974931880108992	xgboost 1 39	xgboost	xgboost	39
#0000FF	0.404901243599122	0.976021798365123	xgboost 1 40	xgboost	xgboost	40
#0000FF	0.414898805169471	0.980926430517711	xgboost 1 41	xgboost	xgboost	41
#0000FF	0.42489636673982	0.984196185286103	xgboost 1 42	xgboost	xgboost	42
#0000FF	0.434893928310168	0.987465940054496	xgboost 1 43	xgboost	xgboost	43
#0000FF	0.444891489880517	0.988555858310627	xgboost 1 44	xgboost	xgboost	44
#0000FF	0.454889051450866	0.990735694822888	xgboost 1 45	xgboost	xgboost	45
#0000FF	0.464886613021214	0.993460490463215	xgboost 1 46	xgboost	xgboost	46
#0000FF	0.474884174591563	0.993460490463215	xgboost 1 47	xgboost	xgboost	47
#0000FF	0.484881736161912	0.994005449591281	xgboost 1 48	xgboost	xgboost	48
#0000FF	0.49487929773226	0.994005449591281	xgboost 1 49	xgboost	xgboost	49
#0000FF	0.504998780785174	0.994550408719346	xgboost 1 50	xgboost	xgboost	50
#0000FF	0.514996342355523	0.995095367847411	xgboost 1 51	xgboost	xgboost	51
#0000FF	0.524993903925872	0.996185286103542	xgboost 1 52	xgboost	xgboost	52
#0000FF	0.534991465496221	0.997275204359673	xgboost 1 53	xgboost	xgboost	53
#0000FF	0.544989027066569	0.997275204359673	xgboost 1 54	xgboost	xgboost	54
#0000FF	0.554986588636918	0.997820163487738	xgboost 1 55	xgboost	xgboost	55
#0000FF	0.564984150207267	0.997820163487738	xgboost 1 56	xgboost	xgboost	56
