linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#B3B3B3	#0000FF	0.5	1.5	7618	10037	xgboost 1 negative	error	negative	xgboost	29	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	147	xgboost 1 positive	error	positive	xgboost	30	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7536	10037	xgboost 1 negative	error	negative	xgboost	30	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	129	xgboost 1 positive	error	positive	xgboost	31	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7454	10037	xgboost 1 negative	error	negative	xgboost	31	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	111	xgboost 1 positive	error	positive	xgboost	32	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7372	10037	xgboost 1 negative	error	negative	xgboost	32	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	102	xgboost 1 positive	error	positive	xgboost	33	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7290	10037	xgboost 1 negative	error	negative	xgboost	33	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	95	xgboost 1 positive	error	positive	xgboost	34	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7208	10037	xgboost 1 negative	error	negative	xgboost	34	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	79	xgboost 1 positive	error	positive	xgboost	35	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7126	10037	xgboost 1 negative	error	negative	xgboost	35	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	67	xgboost 1 positive	error	positive	xgboost	36	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7044	10037	xgboost 1 negative	error	negative	xgboost	36	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	60	xgboost 1 positive	error	positive	xgboost	37	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6962	10037	xgboost 1 negative	error	negative	xgboost	37	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	52	xgboost 1 positive	error	positive	xgboost	38	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6880	10037	xgboost 1 negative	error	negative	xgboost	38	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	46	xgboost 1 positive	error	positive	xgboost	39	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6798	10037	xgboost 1 negative	error	negative	xgboost	39	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	44	xgboost 1 positive	error	positive	xgboost	40	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6716	10037	xgboost 1 negative	error	negative	xgboost	40	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	35	xgboost 1 positive	error	positive	xgboost	41	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6634	10037	xgboost 1 negative	error	negative	xgboost	41	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	29	xgboost 1 positive	error	positive	xgboost	42	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6552	10037	xgboost 1 negative	error	negative	xgboost	42	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	23	xgboost 1 positive	error	positive	xgboost	43	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6470	10037	xgboost 1 negative	error	negative	xgboost	43	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	21	xgboost 1 positive	error	positive	xgboost	44	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6388	10037	xgboost 1 negative	error	negative	xgboost	44	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	17	xgboost 1 positive	error	positive	xgboost	45	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	6306	10037	xgboost 1 negative	error	negative	xgboost	45	xgboost	1
